"filename", "language", "PHP", "JSON", "JavaScript", "Markdown", "XML", "YAML", "Shell Script", "Makefile", "PostCSS", "comment", "blank", "total"
"d:\xampp\htdocs\mywebsite\assets\logo.html.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 78
"d:\xampp\htdocs\mywebsite\composer.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\xampp\htdocs\mywebsite\composer.lock", "JSON", 0, 1833, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1834
"d:\xampp\htdocs\mywebsite\controllers\add_comments.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\xampp\htdocs\mywebsite\controllers\add_newpost.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 49
"d:\xampp\htdocs\mywebsite\controllers\add_notifications.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\xampp\htdocs\mywebsite\controllers\add_reading_history.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\xampp\htdocs\mywebsite\controllers\admin\add_modules.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\xampp\htdocs\mywebsite\controllers\admin\delete_modules.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\xampp\htdocs\mywebsite\controllers\admin\delete_users.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\xampp\htdocs\mywebsite\controllers\admin\get_edituser.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\xampp\htdocs\mywebsite\controllers\admin\get_modules.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\xampp\htdocs\mywebsite\controllers\admin\get_users.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\xampp\htdocs\mywebsite\controllers\admin\update_modules.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\xampp\htdocs\mywebsite\controllers\admin\validate_modules.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\xampp\htdocs\mywebsite\controllers\change_password.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\xampp\htdocs\mywebsite\controllers\check_follow_status.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 30
"d:\xampp\htdocs\mywebsite\controllers\check_likes.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\xampp\htdocs\mywebsite\controllers\check_savedposts.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\xampp\htdocs\mywebsite\controllers\check_searchvalues.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\xampp\htdocs\mywebsite\controllers\check_tagname.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 34
"d:\xampp\htdocs\mywebsite\controllers\delete_all_notification.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\xampp\htdocs\mywebsite\controllers\delete_comment.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"d:\xampp\htdocs\mywebsite\controllers\delete_notification.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\xampp\htdocs\mywebsite\controllers\deletepost.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\xampp\htdocs\mywebsite\controllers\edit_comment.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\xampp\htdocs\mywebsite\controllers\edit_userinfo.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 63
"d:\xampp\htdocs\mywebsite\controllers\editpost.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"d:\xampp\htdocs\mywebsite\controllers\follow_user.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\xampp\htdocs\mywebsite\controllers\get_commentcount.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\xampp\htdocs\mywebsite\controllers\get_comments.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\xampp\htdocs\mywebsite\controllers\get_darkmode.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\xampp\htdocs\mywebsite\controllers\get_editinfo.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\xampp\htdocs\mywebsite\controllers\get_follow_counts.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\xampp\htdocs\mywebsite\controllers\get_followers.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\xampp\htdocs\mywebsite\controllers\get_following.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\xampp\htdocs\mywebsite\controllers\get_likecount.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\xampp\htdocs\mywebsite\controllers\get_notifications.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\xampp\htdocs\mywebsite\controllers\get_postdetails.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
