"filename", "language", "PHP", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\xampp\htdocs\mywebsite\controllers\change_password.php", "PHP", 15, 0, 0, 0, 3, 18
"d:\xampp\htdocs\mywebsite\controllers\render&events\admin.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\xampp\htdocs\mywebsite\controllers\render&events\changepassword.js", "JavaScript", 0, 38, 0, 4, 7, 49
"d:\xampp\htdocs\mywebsite\controllers\render&events\profile.js", "JavaScript", 0, 2, 0, 0, 0, 2
"d:\xampp\htdocs\mywebsite\controllers\send_message.php", "PHP", -2, 0, 0, -1, -1, -4
"d:\xampp\htdocs\mywebsite\controllers\send_otp.php", "PHP", 39, 0, 0, 3, 11, 53
"d:\xampp\htdocs\mywebsite\controllers\session_data.php", "PHP", 8, 0, 0, 0, 0, 8
"d:\xampp\htdocs\mywebsite\controllers\update_password.php", "PHP", 12, 0, 0, 0, 5, 17
"d:\xampp\htdocs\mywebsite\controllers\validate_password.php", "PHP", 15, 0, 0, 0, 5, 20
"d:\xampp\htdocs\mywebsite\controllers\verify_otp.php", "PHP", 16, 0, 0, 0, 7, 23
"d:\xampp\htdocs\mywebsite\includes\dbfunctions.php", "PHP", 24, 0, 0, 0, 5, 29
"d:\xampp\htdocs\mywebsite\includes\upload_avatar.php", "PHP", -1, 0, 0, 0, 2, 1
"d:\xampp\htdocs\mywebsite\src\css\output.css", "PostCSS", 0, 0, 82, 0, 0, 82
"d:\xampp\htdocs\mywebsite\src\js\events.js", "JavaScript", 0, 202, 0, 1, 44, 247
"d:\xampp\htdocs\mywebsite\src\js\render.js", "JavaScript", 0, 33, 0, 0, 4, 37
"d:\xampp\htdocs\mywebsite\views\changepassword.html.php", "PHP", 204, 0, 0, 0, 34, 238
"d:\xampp\htdocs\mywebsite\views\login.html.php", "PHP", 0, 0, 0, 0, 1, 1
"d:\xampp\htdocs\mywebsite\views\main.html.php", "PHP", 8, 0, 0, 1, 1, 10
"d:\xampp\htdocs\mywebsite\views\register.html.php", "PHP", 6, 0, 0, 0, 2, 8
"Total", "-", 344, 275, 82, 8, 131, 840
